ParentPartNumber,AccessoryName,AccessoryPartNumber,AccessoryCost
SXWASPSBX10002,Automation Server Base,SXWTBASW110002,88
SXWASPSBX10002,PS-24V Power Supply,SXWPS24VX10001,166
SXWPS24VX10001,Power Supply Base,SXWTBPSW110001,70
SXWDOC8XX10001,I/O Module Base,SXWTBIOW110001,70
SXWDOA12X10001,I/O Module Base,SXWTBIOW110001,70
SXWDI16XX10001,I/O Module Base,SXWTBIOW110001,70
SXWAO8XXX10001,I/O Module Base,SXWTBIOW110001,70
SXWUI8D4X10001,I/O Module Base,SXWTBIOW110001,70
SXWUI16XX10001,I/O Module Base,SXWTBIOW110001,70
SXWUI8A4X10001,I/O Module Base,SXWTBIOW110001,70
