PanelName,No Solution Found,mp c 15,mp c 186,mp c 36,mp c24,"rp c 12(8,4)","rp c12(8,3,1)",SUM
LCP-1ST-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
LCP-1ST-2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
LCP-1ST-3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-1ST-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-2ND-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-2ND-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-2ND-3,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
LCP-2ND-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-2ND-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
LCP-3RD-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-3RD-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-3RD-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-3RD-4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
LCP-4TH-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-4TH-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-4TH-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
LCP-4TH-4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
LCP-5TH-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-5TH-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-5TH-3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-5TH-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-6TH-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-6TH-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-6TH-3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-6TH-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-7TH-1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
LCP-7TH-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-7TH-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-7TH-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-B01-01,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
LCP-B01-2,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
LCP-B01-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCP-B01-4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-B01-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-B01-6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
LCP-B01-7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LCP-B02-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-B02-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-B02-3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-B02-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-B02-5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
LCP-B02-6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LCP-B03-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LCP-G-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-G-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LCP-G-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-G-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-G-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
LCP-G-6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-G-7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LCP-G-8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LCP-R-1,0.0,1.0,1.0,5.0,0.0,0.0,0.0,7.0
LCP-R-2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
