PanelName,ControllerName,Quantity,TotalPanelCost
LCP-1ST-1,mp c 15,1,1540.0
LCP-1ST-1,mp c 186,1,1540.0
LCP-1ST-2,mp c24,1,1871.02
LCP-1ST-2,mp c 36,1,1871.02
LCP-1ST-3,mp c24,1,890.7
LCP-1ST-4,mp c 36,1,980.32
LCP-2ND-1,mp c 36,1,980.32
LCP-2ND-2,mp c 186,1,834.0
LCP-2ND-3,mp c 36,2,2570.56
LCP-2ND-3,"rp c12(8,3,1)",1,2570.56
LCP-2ND-4,mp c 36,1,980.32
LCP-2ND-5,mp c 36,1,1590.24
LCP-2ND-5,"rp c12(8,3,1)",1,1590.24
LCP-3RD-1,mp c 36,1,980.32
LCP-3RD-2,mp c 186,1,834.0
LCP-3RD-3,mp c 36,1,980.32
LCP-3RD-4,mp c 15,1,1686.3200000000002
LCP-3RD-4,mp c 36,1,1686.3200000000002
LCP-4TH-1,mp c 36,1,980.32
LCP-4TH-2,mp c24,1,890.7
LCP-4TH-3,mp c 36,1,1590.24
LCP-4TH-3,"rp c12(8,3,1)",1,1590.24
LCP-4TH-4,mp c 15,1,1686.3200000000002
LCP-4TH-4,mp c 36,1,1686.3200000000002
LCP-5TH-1,mp c 36,1,980.32
LCP-5TH-2,mp c 186,1,834.0
LCP-5TH-3,mp c 186,1,834.0
LCP-5TH-4,mp c 36,1,980.32
LCP-6TH-1,mp c 36,1,980.32
LCP-6TH-2,mp c 186,1,834.0
LCP-6TH-3,mp c24,1,890.7
LCP-6TH-4,mp c 36,1,980.32
LCP-7TH-1,mp c 36,1,1590.24
LCP-7TH-1,"rp c 12(8,4)",1,1590.24
LCP-7TH-2,mp c24,1,890.7
LCP-7TH-3,mp c 36,1,980.32
LCP-7TH-4,mp c 36,1,980.32
LCP-B01-01,mp c 186,1,2794.6400000000003
LCP-B01-01,mp c 36,2,2794.6400000000003
LCP-B01-2,mp c 36,2,2570.56
LCP-B01-2,"rp c12(8,3,1)",1,2570.56
LCP-B01-3,No Solution Found,0,0.0
LCP-B01-4,mp c24,1,890.7
LCP-B01-5,mp c 36,1,980.32
LCP-B01-6,mp c 36,1,1590.24
LCP-B01-6,"rp c 12(8,4)",1,1590.24
LCP-B01-7,"rp c12(8,3,1)",1,609.92
LCP-B02-1,mp c 36,1,980.32
LCP-B02-2,mp c24,1,890.7
LCP-B02-3,mp c24,1,890.7
LCP-B02-4,mp c 36,1,980.32
LCP-B02-5,mp c 15,1,2520.32
LCP-B02-5,mp c 186,1,2520.32
LCP-B02-5,mp c 36,1,2520.32
LCP-B02-6,"rp c12(8,3,1)",1,609.92
LCP-B03-1,"rp c12(8,3,1)",1,609.92
LCP-G-1,mp c24,1,890.7
LCP-G-2,mp c24,1,890.7
LCP-G-3,mp c 36,1,980.32
LCP-G-4,mp c 36,1,980.32
LCP-G-5,mp c 36,1,1590.24
LCP-G-5,"rp c12(8,3,1)",1,1590.24
LCP-G-6,mp c 36,1,980.32
LCP-G-7,mp c 186,1,834.0
LCP-G-8,mp c 36,1,980.32
LCP-R-1,mp c 15,1,6441.6
LCP-R-1,mp c 186,1,6441.6
LCP-R-1,mp c 36,5,6441.6
LCP-R-2,mp c 36,4,3921.28
